Entidad_Federativa,Poblacion_ocupada_en_la_industria_manufacturera
Puebla,230487
Puebla,188720
Puebla,236459
Puebla,190831
Puebla,233484
Puebla,186885
Puebla,243930
Puebla,181409
Puebla,240480
Puebla,185213
Puebla,245594
Puebla,178181
Puebla,239606
Puebla,222038
Puebla,253502
Puebla,229557
Puebla,237296
Puebla,202179
Puebla,222215
Puebla,206724
Puebla,231978
Puebla,205195
Puebla,231188
Puebla,227588
Puebla,218053
Puebla,181938
Puebla,231409
Puebla,208018
Puebla,223270
Puebla,158698
Puebla,232682
Puebla,191170
Puebla,235273
Puebla,182053
Puebla,228439
Puebla,173701
Puebla,236135
Puebla,190580
Puebla,232481
Puebla,174942
Puebla,241462
Puebla,157526
Puebla,226818
Puebla,147593
Puebla,227813
Puebla,188734
Puebla,230301
Puebla,171044
Puebla,214239
Puebla,146574
Puebla,226332
Puebla,169732
Puebla,247899
Puebla,157540
Puebla,248453
Puebla,178304
Puebla,254279
Puebla,183210
Puebla,234428
Puebla,163167
Puebla,240614
Puebla,189822
Puebla,232966
Puebla,182165
Puebla,221314
Puebla,149385
Puebla,217308
Puebla,150589
Puebla,211884
Puebla,137585
Puebla,218391
Puebla,150448
Puebla,205769
Puebla,146207
Puebla,226210
Puebla,136402
Puebla,217200
Puebla,145867
Puebla,218110
Puebla,147082
Puebla,213571
Puebla,131262
Puebla,209708
Puebla,143410
Puebla,231235
Puebla,159369
Puebla,228012
Puebla,152601
Puebla,235989
Puebla,154373
Puebla,246954
Puebla,173448
Puebla,246293
Puebla,195897
Puebla,271668
Puebla,186187
Puebla,270086
Puebla,195201
Puebla,291763
Puebla,210219
Puebla,279192
Puebla,190933
Puebla,302432
Puebla,216432
Puebla,282020
Puebla,183086
Puebla,297398
Puebla,189701
Puebla,277876
Puebla,188751
Puebla,277776
Puebla,200536
Puebla,294526
Puebla,194914
Puebla,263927
Puebla,173014
Puebla,244997
Puebla,177805
Puebla,231513
Puebla,163911
Puebla,259741
Puebla,169574
Puebla,ND
Puebla,ND
Puebla,261647
Puebla,192880
Puebla,262525
Puebla,165981
Puebla,286068
Puebla,165007
Puebla,285058
Puebla,165521
Puebla,286702
Puebla,188908
Puebla,316434
Puebla,203202
Puebla,320843
Puebla,179545
Durango,65926
Durango,29268
Durango,66291
Durango,31148
Durango,68157
Durango,33372
Durango,70110
Durango,29600
Durango,63602
Durango,27295
Durango,66240
Durango,23853
Durango,64554
Durango,25508
Durango,61022
Durango,25569
Durango,71936
Durango,27817
Durango,62219
Durango,26337
Durango,51151
Durango,26841
Durango,64363
Durango,31958
Durango,65966
Durango,30364
Durango,55945
Durango,22765
Durango,53918
Durango,25298
Durango,52610
Durango,26238
Durango,55890
Durango,22740
Durango,52475
Durango,23398
Durango,51453
Durango,23967
Durango,55694
Durango,22973
Durango,60093
Durango,24916
Durango,67775
Durango,25298
Durango,63292
Durango,23303
Durango,63276
Durango,27511
Durango,69026
Durango,27351
Durango,64980
Durango,29739
Durango,62060
Durango,30202
Durango,60153
Durango,32668
Durango,73908
Durango,32947
Durango,76987
Durango,32231
Durango,76715
Durango,34830
Durango,83368
Durango,33116
Durango,96887
Durango,36348
Durango,89131
Durango,31031
Durango,79393
Durango,37287
Durango,74701
Durango,32561
Durango,77955
Durango,34714
Durango,77591
Durango,33178
Durango,75066
Durango,34328
Durango,69834
Durango,37898
Durango,74903
Durango,38685
Durango,71815
Durango,41106
Durango,67549
Durango,39556
Durango,71861
Durango,34937
Durango,75443
Durango,32438
Durango,83719
Durango,36793
Durango,83168
Durango,36936
Durango,99216
Durango,37659
Durango,90208
Durango,41628
Durango,75089
Durango,39123
Durango,75619
Durango,40550
Durango,76161
Durango,44381
Durango,77555
Durango,45216
Durango,87252
Durango,46009
Durango,79843
Durango,45752
Durango,83355
Durango,47548
Durango,80291
Durango,49926
Durango,83843
Durango,52039
Durango,82720
Durango,49236
Durango,87259
Durango,46711
Durango,83957
Durango,44065
Durango,ND
Durango,ND
Durango,78892
Durango,41187
Durango,86151
Durango,44134
Durango,87263
Durango,46289
Durango,88722
Durango,49149
Durango,90305
Durango,53354
Durango,82494
Durango,57450
Durango,79715
Durango,55750
